english,georgia,level
require, მოთხოვნა, B2
effort, ძალისხმევა, B2
achievement, მიღწევა, B2
responsible, პასუხისმგებელი, B2
immediately, დაუყოვნებლივ, B2
attitude, დამოკიდებულება, B2
confidence, თავდაჯერებულობა, B2
consider, გათვალისწინება / განხილვა, B2
convince, დარწმუნება, B2
depend on, დამოკიდებული ყოფნა, B2
influence, გავლენა, B2
increase, გაზრდა, B2
decrease, შემცირება, B2
compare, შედარება, B2
compete, კონკურენცია, B2
advantage, უპირატესობა, B2
disadvantage, ნაკლი, B2
appropriate, შესაფერისი, B2
relevant, შესაბამისი, B2
available, ხელმისაწვდომი, B2
efficient, ეფექტური, B2
generation, თაობა, B2
environment, გარემო, B2
global, გლობალური, B2
issue, საკითხი, B2
solution, გადაწყვეტა, B2
situation, სიტუაცია, B2
opinion, აზრი, B2
perspective, ხედვა / პერსპექტივა, B2
develop, განვითარება, B2
research, კვლევა, B2
support, მხარდაჭერა, B2
structure, სტრუქტურა, B2
strategy, სტრატეგია, B2
approach, მიდგომა, B2
challenge, გამოწვევა, B2
opportunity, შესაძლებლობა, B2
responsibility, პასუხისმგებლობა, B2
solution, გადაწყვეტა, B2
variety, მრავალფეროვნება, B2
attend, დასწრება, B2
participate, მონაწილეობა, B2
recommend, რეკომენდაციის მოცემა, B2
suggest, შეთავაზება, B2
criticize, კრიტიკა, B2
debate, დებატები / კამათი, B2
formal, ფორმალური, B2
informal, არაფორმალური, B2
legal, კანონიერი, B2
illegal, არალეგალური, B2
campaign, კამპანია, B2
violence, ძალადობა, B2
economic, ეკონომიკური, B2
financial, ფინანსური, B2
technology, ტექნოლოგია, B2
digital, ციფრული, B2
communication, კომუნიკაცია, B2
media, მედია, B2
source, წყარო, B2
requirement, მოთხოვნა, B2
process, პროცესი, B2